Ищет работу на должность:,Последнее/нынешнее место работы,Последняя/нынешняя должность,Обновление резюме,Авто,Образование,Пол,Возраст,Опыт работы (месяц),Город,Готовность к переезду,Готовность к командировкам,Занятость_полная занятость,Занятость_частичная занятость,Занятость_проектная работа,Занятость_волонтерство,Занятость_стажировка,График_полный день,График_сменный график,График_гибкий график,График_удалённая работа,График_вахтовый метод,salary_value,salary_cur_name,salary_currency,date_x,date_y,exchange_rate,ЗП (руб)
Технический специалист,ИП,Фотограф,2019-04-22,Не указано,неоконченное высшее,Ж,27,89.0,город-миллионник,False,True,True,False,False,False,False,True,False,False,False,False,25000.0,руб.,RUB,2019-04-22,,1.0,25000.0
"Специалист систем эксплуатации, системный администратор, инженер сетевых технологий и прочее",Мобильные ТелеСистемы (МТС),Ведущий специалист,2019-04-25,Не указано,высшее,М,30,106.0,другие,True,True,True,True,False,False,False,True,True,True,False,True,60000.0,руб.,RUB,2019-04-25,,1.0,60000.0
Начальник отдела,"ОАО ""Международный аэропорт Минеральные Воды""",Ведущий инженер группы АТС,2019-04-18,Не указано,высшее,М,30,109.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,40000.0,руб.,RUB,2019-04-18,,1.0,40000.0
Менеджер проекта,Нпк грасис,Сборщик станций газоразделительных систем,2019-04-26,Не указано,высшее,М,31,180.0,Москва,False,True,True,False,False,False,False,True,True,False,False,False,40000.0,руб.,RUB,2019-04-26,,1.0,40000.0
Менеджер по продажам / Консультант,Строительный бум,Продавец-консультант,2019-04-22,Не указано,неоконченное высшее,М,24,12.0,другие,False,False,True,False,False,False,False,True,True,False,False,False,20000.0,руб.,RUB,2019-04-22,,1.0,20000.0
Инженер,"ВымпелКом, ПАО",Ведущий инженер мониторинга,2019-04-14,Имеется собственный автомобиль,высшее,М,29,91.0,другие,True,True,True,False,False,False,False,True,True,True,False,False,65000.0,руб.,RUB,2019-04-14,,1.0,65000.0
Сетевой инженер,"Дочки & Сыночки, сеть супермаркетов",Сетевой инженер,2019-05-07,Не указано,неоконченное высшее,М,30,64.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-05-07,,1.0,70000.0
Аналитик,"Совкомбанк, ИКБ",Аналитик,2019-04-22,Не указано,высшее,М,26,49.0,город-миллионник,False,True,True,True,False,False,False,True,False,True,False,False,65000.0,руб.,RUB,2019-04-22,,1.0,65000.0
Системный администратор,Эрмитаж Констракшн энд Менеджмент,Системный администратор,2019-04-25,Не указано,неоконченное высшее,М,22,31.0,Москва,False,True,True,True,False,False,False,True,True,True,False,True,42000.0,руб.,RUB,2019-04-25,,1.0,42000.0
Руководитель отдела ИТ,ГБУЗ СК Ставропольский краевой клинический онкологический диспансер,Начальник отдела ИТ,2019-04-25,Не указано,высшее,М,39,143.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-04-25,,1.0,70000.0
Системный администратор,"ООО МФК ""Смартмани.ру""",Эксперт отдела взыскания,2019-04-22,Не указано,высшее,М,25,41.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-22,,1.0,50000.0
Модератор,МАДОУ МО г. Краснодар Центр развития ребенка-детский сад № 63,Педагог-воспитатель,2019-04-26,Не указано,высшее,Ж,33,106.0,другие,True,False,True,False,False,False,False,False,False,False,False,False,10000.0,руб.,RUB,2019-04-26,,1.0,10000.0
Руководитель проектов,ОФД-Я,Руководитель проектов,2019-04-17,Имеется собственный автомобиль,высшее,М,28,111.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,150000.0,руб.,RUB,2019-04-17,,1.0,150000.0
"Руководитель департамента развития, менеджер проектов",Orange Business Services,Начальник сектора региональных проектов,2019-04-08,Имеется собственный автомобиль,высшее,М,50,241.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,250000.0,руб.,RUB,2019-04-08,,1.0,250000.0
Руководитель проектов,ООО Бизнесинформтехнологии,Руководитель проектов,2019-04-10,Не указано,высшее,Ж,46,250.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,100000.0,руб.,RUB,2019-04-10,,1.0,100000.0
Специалист технической поддержки,МБДОУ ЦРР детский сад №115,Рабочий по обслуживанию зданий,2019-05-07,Имеется собственный автомобиль,высшее,М,27,81.0,другие,False,False,True,True,False,False,False,True,True,False,False,False,25000.0,руб.,RUB,2019-05-07,,1.0,25000.0
Инженер по защите информации. (Ведение воинского учёта).,«Гипротранссигналсвязь» — филиал АО «Росжелдорпроект»,Инженер по защите информации,2019-04-26,Не указано,высшее,М,54,419.0,Санкт-Петербург,False,True,True,False,False,False,False,True,False,False,False,False,35000.0,руб.,RUB,2019-04-26,,1.0,35000.0
Программист 1С (Воронеж),ООО БигБэг (Пан Чемодан),Программист 1С,2019-05-13,Не указано,неоконченное высшее,М,39,184.0,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,100000.0,руб.,RUB,2019-05-13,,1.0,100000.0
"Инженер АСУТП, системный администратор","ООО ""Заполярпромгражданстрой""",Ведущий инженер,2019-04-21,Не указано,высшее,М,32,145.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,100000.0,руб.,RUB,2019-04-21,,1.0,100000.0
Дизайнер презентаций,Высшая школа стилистики Новосибирск,Эди Слиман,2019-04-26,Не указано,неоконченное высшее,Ж,31,68.0,город-миллионник,False,False,False,False,True,False,False,False,False,False,False,False,45000.0,руб.,RUB,2019-04-26,,1.0,45000.0
Оператор ЭВМ,"ПАО ""Газпром Автоматизация""",Инженер,2019-04-11,Не указано,среднее специальное,М,24,40.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,40000.0,руб.,RUB,2019-04-11,,1.0,40000.0
Руководитель проектов,Группа компаний MAYKOR,Руководитель проектов,2019-04-22,Имеется собственный автомобиль,высшее,М,27,63.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,90000.0,руб.,RUB,2019-04-22,,1.0,90000.0
Программист разработчик  Unity3d C#,Astrotactics,Программист-разработчик,2019-04-27,Имеется собственный автомобиль,высшее,М,39,87.0,Москва,False,False,True,True,True,False,False,False,False,False,False,False,60000.0,руб.,RUB,2019-04-27,,1.0,60000.0
Веб-разработчик,Фриланс,Фрилансер,2019-05-07,Не указано,высшее,М,40,136.0,другие,True,True,True,True,False,False,False,True,True,True,False,False,30000.0,руб.,RUB,2019-05-07,,1.0,30000.0
Специалист технической поддержки любой город РФ,Школа искусств,Специалист технической поддержки,2019-04-22,Не указано,неоконченное высшее,Ж,28,49.0,другие,False,False,True,True,True,False,False,False,False,False,False,False,20000.0,руб.,RUB,2019-04-22,,1.0,20000.0
Программист,НОУ СОШ Образовательный центр ПАО Газпром,Преподаватель информатики,2018-08-10,Не указано,высшее,М,40,248.0,Москва,False,True,True,True,True,False,False,True,False,True,False,False,170000.0,руб.,RUB,2018-08-10,,1.0,170000.0
"Менеджер,супервайзер",Мастер Хим,менеджер по продажам,2019-04-22,Не указано,высшее,М,33,129.0,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,34000.0,руб.,RUB,2019-04-22,,1.0,34000.0
Менеджер проекта,Aiger,Менеджер проектов,2019-04-06,Имеется собственный автомобиль,высшее,М,27,78.0,город-миллионник,True,True,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-06,,1.0,50000.0
Специалист технической поддержки,"Акционерное общество ""Негосударственный Пенсионный Фонд ""РГС"" (АО ""НПФ РГС"")","Ведущий специалист сопровождения договоров Обязательного пенсионного страхования, Специалист пенсионного обеспечения",2019-05-07,Не указано,высшее,М,30,95.0,Москва,False,False,True,False,False,False,False,True,True,False,False,False,55000.0,руб.,RUB,2019-05-07,,1.0,55000.0
Аккаунт менеджер,Ростелеком,Специалист отдела координации и инсталляции,2019-04-16,Не указано,среднее специальное,М,23,59.0,Санкт-Петербург,False,False,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-16,,1.0,50000.0
"Вэб-проекты, оператор ПК",ВМС Принт,Упаковщица,2019-04-11,Не указано,среднее специальное,Ж,27,107.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,40000.0,руб.,RUB,2019-04-11,,1.0,40000.0
Технический специалист,Индивидуальное предпринимательство / частная практика / фриланс,"Видео-монтажер, переводчик.",2019-04-26,Не указано,среднее специальное,М,34,157.0,город-миллионник,True,True,True,True,True,False,False,True,False,True,False,False,35000.0,руб.,RUB,2019-04-26,,1.0,35000.0
Помощник руководителя,Запсибмашкомплектация,Помощник руководителя,2019-04-25,Не указано,высшее,Ж,35,122.0,город-миллионник,True,True,True,False,False,False,False,True,False,False,False,False,80000.0,руб.,RUB,2019-04-25,,1.0,80000.0
Project manager,Teleperformance Russia,Digital transformation manager,2019-04-13,Не указано,среднее специальное,М,27,69.0,Москва,True,True,True,True,True,False,False,True,False,False,False,False,130000.0,руб.,RUB,2019-04-13,,1.0,130000.0
"администратор БД MySQL, технический специалист, инженер, IT, специалист техподдержки call-центра",ПАО Ростелеком,Инженер электросвязи,2019-04-22,Не указано,высшее,Ж,29,83.0,другие,True,True,True,True,True,False,False,True,True,True,False,False,40000.0,руб.,RUB,2019-04-22,,1.0,40000.0
Системный администратор,"Шате-М Плюс, представительство в Москве",Ведущий специалист технической поддержки ИТ,2019-04-09,Имеется собственный автомобиль,высшее,М,40,281.0,другие,True,True,False,True,True,False,False,False,True,True,False,False,50000.0,руб.,RUB,2019-04-09,,1.0,50000.0
Системный администратор,АО ЭкоПром-Липецк,Системный администратор,2019-05-07,Имеется собственный автомобиль,среднее специальное,М,37,120.0,другие,True,True,True,False,False,False,False,True,False,True,False,False,35000.0,руб.,RUB,2019-05-07,,1.0,35000.0
администратор сети,"ООО ""Башкирская зерновая компания""",Специалист по IT,2019-05-13,Имеется собственный автомобиль,высшее,М,47,124.0,город-миллионник,False,True,True,False,False,False,False,True,False,False,False,False,60000.0,руб.,RUB,2019-05-13,,1.0,60000.0
Инженер-программист,НТО ИРЭ-Полюс,Научный сотрудник,2019-04-22,Имеется собственный автомобиль,высшее,М,25,56.0,Москва,False,True,True,True,False,False,False,True,False,True,False,False,60000.0,руб.,RUB,2019-04-22,,1.0,60000.0
3D художник,"Инновационный центр ""КАМАЗ""",Инженер-программист 2 категории,2018-11-05,Имеется собственный автомобиль,высшее,М,23,37.0,Москва,False,True,True,True,True,False,False,True,True,True,False,True,70000.0,руб.,RUB,2018-11-05,,1.0,70000.0
"IT инженер, Системный администратор",Вооруженные силы РФ,Заместитель начальника отдела. Инженер - программист,2019-05-07,Имеется собственный автомобиль,высшее,М,27,106.0,Москва,True,True,True,True,False,False,False,True,True,True,False,False,65000.0,руб.,RUB,2019-05-07,,1.0,65000.0
"Ведущий консультант, Аналитик, Ведущий аналитик, Функциональный архитектор, Менеджер проекта",Техносерв Консалтинг,Аналитик,2019-04-25,Имеется собственный автомобиль,высшее,М,34,152.0,Москва,False,True,True,True,False,False,False,True,True,True,False,False,185000.0,руб.,RUB,2019-04-25,,1.0,185000.0
Менеджер,Музей фабрика елочных игрушек,Начальник мастер классов,2019-04-17,Не указано,высшее,Ж,27,78.0,Москва,True,True,True,True,True,False,False,True,True,True,False,False,40000.0,руб.,RUB,2019-04-17,,1.0,40000.0
"Руководитель, менеджер","ООО "" Компания Астра""",Заведующий АЗС,2019-05-13,Имеется собственный автомобиль,высшее,М,30,185.0,другие,False,True,True,False,False,False,False,True,True,True,False,False,45000.0,руб.,RUB,2019-05-13,,1.0,45000.0
Руководитель инфраструктурных проектов / Инженер проекта,ООО Эркон,Ведущий системный администратор,2019-04-27,Имеется собственный автомобиль,высшее,М,44,166.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,140000.0,руб.,RUB,2019-04-27,,1.0,140000.0
Системный администратор,Межрайонная ИФНС №24 по Красноярскому краю,Специалист по информационной безопасности,2019-04-17,Имеется собственный автомобиль,среднее специальное,М,26,103.0,город-миллионник,True,True,True,True,False,False,False,True,False,False,False,False,40000.0,руб.,RUB,2019-04-17,,1.0,40000.0
Старший инженер,"АО ""НСН""",старший инженер,2019-04-26,Не указано,высшее,М,47,283.0,Москва,False,False,True,False,False,False,False,True,True,False,False,False,70000.0,руб.,RUB,2019-04-26,,1.0,70000.0
Старший инженер,"ПАО ""Мегафон""","Инженер по эксплуатации сети базовых станций, антенно-мачтовых сооружений, крупных сетевых элементов",2019-04-22,Не указано,высшее,М,29,94.0,другие,False,True,True,True,True,False,False,True,True,True,False,False,50000.0,руб.,RUB,2019-04-22,,1.0,50000.0
Key Account Manager /  Regional Sales Manager,2ГИС (ДубльГис),Менеджер по работе с ключевыми клиентами,2019-05-07,Имеется собственный автомобиль,высшее,М,32,107.0,город-миллионник,True,True,True,False,False,False,False,True,False,False,False,False,60000.0,руб.,RUB,2019-05-07,,1.0,60000.0
Руководитель проектов / Гейм-дизайнер,Moonrealm Entertainment,Ведущий геймдизайнер,2019-05-07,Не указано,среднее специальное,М,27,72.0,Москва,True,True,True,True,True,False,False,True,False,True,False,False,100000.0,руб.,RUB,2019-05-07,,1.0,100000.0
Программист PHP,ООО Ливмастер,Программист,2019-05-12,Не указано,высшее,М,30,32.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,80000.0,руб.,RUB,2019-05-12,,1.0,80000.0
Аналитик IT,МТС ИТ,Системный аналитик,2019-04-20,Не указано,высшее,Ж,37,95.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,140000.0,руб.,RUB,2019-04-20,,1.0,140000.0
Telecommunications engineer and manager,Текнип-СТЛ,Супервайзер,2019-04-14,Не указано,высшее,М,70,442.0,Москва,False,False,False,True,True,False,False,True,False,True,False,False,80000.0,руб.,RUB,2019-04-14,,1.0,80000.0
Backend Python Developer,"Тензор, ООО",Инженер-программист Python,2019-04-22,Не указано,высшее,М,30,101.0,другие,True,True,True,False,False,False,False,True,False,True,False,False,120000.0,руб.,RUB,2019-04-22,,1.0,120000.0
Сборщик ПК,ГИБДД,Техник,2019-04-25,Не указано,высшее,М,27,64.0,Москва,False,False,True,False,False,False,False,True,True,False,False,False,40000.0,руб.,RUB,2019-04-25,,1.0,40000.0
Технический специалист,ФГУП ФЦДТ Союз,"Инженер технолог 1 категории, Мастер смены",2019-04-18,Не указано,высшее,М,29,72.0,Москва,False,True,True,False,False,False,False,True,True,True,False,False,60000.0,руб.,RUB,2019-04-18,,1.0,60000.0
Инженер АСУ ТП,"ПАО ""Юнипро"" филиал ""Берёзовская ГРЭС""",Инженер-электроник,2019-05-07,Имеется собственный автомобиль,высшее,М,33,99.0,другие,False,True,True,False,False,False,False,True,False,False,False,True,40000.0,руб.,RUB,2019-05-07,,1.0,40000.0
Инженер по ремонту ККТ,"АО ""ИТ Сервис Ритейл энд Банкинг""","Сервисный инженер, Инженер по ЗИП",2019-04-16,Имеется собственный автомобиль,среднее специальное,М,56,427.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,40000.0,руб.,RUB,2019-04-16,,1.0,40000.0
Аналитик / Разработчик / Главный специалист,"ОТП Банк, ОАО (OTP bank)",Руководитель направления (разработка),2019-04-17,Не указано,высшее,М,30,106.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,250000.0,руб.,RUB,2019-04-17,,1.0,250000.0
Java-разработчик,Ростелеком,Главный специалист,2019-04-26,Не указано,высшее,М,40,215.0,Москва,False,True,True,True,True,False,False,True,False,True,False,False,190000.0,руб.,RUB,2019-04-26,,1.0,190000.0
Региональный менеджер по продажам,"ООО ""Арт-грани""",Менеджер по продажам,2019-04-09,Не указано,высшее,Ж,31,92.0,другие,True,True,True,False,False,False,False,True,True,False,False,False,30000.0,руб.,RUB,2019-04-09,,1.0,30000.0
"Помощник системного администратора, специалист IT, поддержка help desk","Российские железные дороги, ОАО",Оператор ЭВМ,2019-05-13,Не указано,среднее специальное,М,26,52.0,другие,False,False,True,True,False,False,True,True,False,True,False,False,55000.0,руб.,RUB,2019-05-13,,1.0,55000.0
"""Инженер-ОПС"",""IT специалист"", ""Специалист по ИТСО"" , ""Инженер слаботочных систем""","ООО ""СНЭМА-СЕРВИС""",Инженер АСУТП и КИПиА,2019-04-22,Не указано,высшее,М,27,81.0,другие,True,True,True,False,False,False,False,True,True,True,False,False,35000.0,руб.,RUB,2019-04-22,,1.0,35000.0
Ведущий ИТ-аналитик/руководитель проекта/архитектор,АО Гринатом,Функциональный архитектор,2019-04-25,Имеется собственный автомобиль,высшее,М,29,116.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,230000.0,руб.,RUB,2019-04-25,,1.0,230000.0
ИТ-специалист,"ЧОУ ЦДО ""Снейл""",Ведущий специалист,2019-04-26,Не указано,высшее,Ж,25,37.0,Санкт-Петербург,False,True,True,True,True,False,True,True,True,True,False,False,30000.0,руб.,RUB,2019-04-26,,1.0,30000.0
Сетевой инженер,"Центр технической компетенции DEMEU, ТОО",Сетевой инженер,2019-04-25,Не указано,высшее,М,25,55.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,350000.0,KZT,KZT,2019-04-25,2019-04-25,0.168799,59079.65
Junior Business Analyst,Индивидуальное предпринимательство / частная практика / фриланс,ИП,2019-04-26,Имеется собственный автомобиль,высшее,М,30,81.0,другие,True,False,True,True,True,False,False,True,True,True,False,False,1500.0,USD,USD,2019-04-26,2019-04-26,64.6794,97019.1
"Разработчик, Аналитик, Системный администратор",Мобильные решения,Инженер аналитического отдела,2019-04-26,Не указано,высшее,М,40,218.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-26,,1.0,50000.0
Аналитик 1С/ Консультант 1С/Специалист поддержки,"Группа компаний ""Трайтек""",Методолог 1С ЗУП,2019-04-14,Не указано,высшее,Ж,50,186.0,Санкт-Петербург,False,True,True,True,False,False,False,True,False,True,False,False,120000.0,руб.,RUB,2019-04-14,,1.0,120000.0
Руководитель отдела управления проектами,"АО ""СИТРОНИКС""  (ПАО ""АФК ""Система"")",Директор по развитию бизнеса,2019-05-07,Имеется собственный автомобиль,высшее,М,34,165.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,230000.0,руб.,RUB,2019-05-07,,1.0,230000.0
"Продавец, менеджер","ООО""Детки""",Продавец-консультант,2019-04-12,Не указано,высшее,Ж,33,149.0,Санкт-Петербург,False,False,True,False,False,False,False,True,True,False,False,False,40000.0,руб.,RUB,2019-04-12,,1.0,40000.0
Администратор,ООО Пекарня Франсуа,Продавец-кассир,2019-04-22,Не указано,неоконченное высшее,Ж,24,44.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,60000.0,руб.,RUB,2019-04-22,,1.0,60000.0
Руководитель проекта,"ООО ""Клевер""",Руководитель предприятия,2019-04-08,Имеется собственный автомобиль,высшее,Ж,34,107.0,другие,True,False,True,False,False,False,False,True,True,False,False,False,70000.0,руб.,RUB,2019-04-08,,1.0,70000.0
Системный администратор,Эльдорадо (Россия),сервисный специалист,2019-05-07,Не указано,высшее,М,29,54.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-05-07,,1.0,50000.0
"Ведущий аналитик, Руководитель проектов, Руководитель направления","ООО ""НЦЭМ""",Руководитель направления,2019-04-22,Не указано,высшее,М,34,105.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,160000.0,руб.,RUB,2019-04-22,,1.0,160000.0
Оператор,Ростелеком,Инженер электросвязи,2019-04-17,Не указано,среднее специальное,Ж,30,81.0,другие,False,False,True,False,False,False,False,False,False,False,False,False,20000.0,руб.,RUB,2019-04-17,,1.0,20000.0
Бизнес-аналитик,АСТРА (доч.комп.ЦРТС),Старший инженер по качеству отдела сертификации и качества разработки,2019-04-22,Не указано,высшее,Ж,25,44.0,Санкт-Петербург,False,True,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-04-22,,1.0,70000.0
Системный администратор,ГБУЗ ПК “ДКБ им. Пичугина П. И.”,системный техник,2019-05-13,Не указано,неоконченное высшее,М,29,125.0,город-миллионник,True,True,True,True,True,False,False,True,True,True,False,True,35000.0,руб.,RUB,2019-05-13,,1.0,35000.0
Интернет-маркетолог SMM,фитнес-центр Extreme Gym,Интернет-маркетолог,2019-04-26,Имеется собственный автомобиль,высшее,М,27,44.0,другие,False,False,True,True,True,False,False,True,True,True,False,False,20000.0,руб.,RUB,2019-04-26,,1.0,20000.0
Координатор проекта,"Актион-Медиа, ЗАО",Менеджер по работе с крупными корпоративными клиентами (сектор В2В),2019-04-26,Имеется собственный автомобиль,высшее,Ж,26,91.0,Москва,False,True,True,False,False,False,False,True,True,False,False,False,85000.0,руб.,RUB,2019-04-26,,1.0,85000.0
Специалист отдела сети связи (наружные сети связи),"ГорИнжПроект, ООО",Специалист отдела связи,2019-04-26,Не указано,среднее,М,37,93.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,95000.0,руб.,RUB,2019-04-26,,1.0,95000.0
Инженер-программист,"ООО ""СПбЦ ""ЭЛМА""",Ведущий инженер-программист,2019-04-26,Не указано,высшее,М,38,184.0,Санкт-Петербург,True,True,True,False,False,False,False,True,False,False,False,False,90000.0,руб.,RUB,2019-04-26,,1.0,90000.0
Сетевой инженер,Информационный центр Телеком-Сервис,Старший инженер Отдела сетевых решений Технического Департамента,2019-04-22,Не указано,высшее,М,26,42.0,Москва,True,True,True,True,False,False,False,True,True,True,False,False,120000.0,руб.,RUB,2019-04-22,,1.0,120000.0
"телекоммуникационные системы, начальник отдела.",Министерство Обороны РФ,Заместитель начальника штаба по связи и радиотехническому обеспечению.,2019-05-07,Имеется собственный автомобиль,высшее,М,35,166.0,другие,True,False,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-05-07,,1.0,70000.0
Менеджер проектов,Московский государственный университет технологий и управления им. К.Г. Разумовского,Лектор,2019-04-09,Не указано,высшее,М,27,32.0,другие,False,False,True,True,False,False,False,True,True,False,False,False,60000.0,руб.,RUB,2019-04-09,,1.0,60000.0
Инженер технической поддержки,Social Discovery Ventures,Системный администратор,2019-04-26,Не указано,высшее,М,31,134.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,90000.0,руб.,RUB,2019-04-26,,1.0,90000.0
"Интернет-маркетолог, Руководитель отдела интернет-маркетинга",Индивидуальное предпринимательство / частная практика / фриланс,Интернет-маркетолог,2019-04-06,Имеется собственный автомобиль,высшее,Ж,30,69.0,Москва,False,True,True,True,True,False,False,False,False,True,False,False,60000.0,руб.,RUB,2019-04-06,,1.0,60000.0
Копирайтер/Контент-менеджер,ГК Левенгук,Ведущий контент-менеджер,2019-04-26,Не указано,высшее,Ж,25,64.0,Санкт-Петербург,False,True,True,False,False,False,False,True,False,False,False,False,60000.0,руб.,RUB,2019-04-26,,1.0,60000.0
Продавец-консультант,Ростелеком,Специалист по работе с корпоративными клиентами,2019-05-07,Не указано,среднее специальное,Ж,30,134.0,другие,False,False,True,True,False,False,False,True,True,False,False,False,20000.0,руб.,RUB,2019-05-07,,1.0,20000.0
"Геймдизайнер, тестировщик","ООО ""ЭНИКС СТУДИО"" (NX Studio, Nexters)",Руководитель отдела тестирования,2019-05-07,Не указано,неоконченное высшее,Ж,29,91.0,Москва,False,True,True,True,True,False,False,True,True,True,False,False,70000.0,руб.,RUB,2019-05-07,,1.0,70000.0
"Руководитель интернет-проекта, Интернет-маркетолог",ARBEN,Администратор/Руководитель отдела e-commerce,2019-04-09,Не указано,неоконченное высшее,М,31,72.0,другие,False,False,True,True,False,False,False,True,False,True,False,False,50000.0,руб.,RUB,2019-04-09,,1.0,50000.0
Инженер IT,Смарт Технолоджи,Ведущий инженер,2019-04-19,Не указано,высшее,М,36,157.0,город-миллионник,True,True,True,False,False,False,False,True,False,False,False,False,45000.0,руб.,RUB,2019-04-19,,1.0,45000.0
Специалист группы технической поддержки,"Телеком-Экспресс, ООО",Младший инженер,2019-04-25,Не указано,высшее,М,22,9.0,Москва,False,True,True,True,False,False,False,True,True,True,False,False,60000.0,руб.,RUB,2019-04-25,,1.0,60000.0
"Сервисный инженер, слепарь- механник",ООО спецтехника,Инженер-механик,2019-04-25,Не указано,высшее,М,26,16.0,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,30000.0,руб.,RUB,2019-04-25,,1.0,30000.0
Специалист,"ООО ""ГазРесурс""",Инженер ПТО,2019-04-22,Не указано,высшее,Ж,22,20.0,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,20000.0,руб.,RUB,2019-04-22,,1.0,20000.0
Ведущий аналитик,"ОАО ""Магелан""",Ведущий аналитик,2018-05-28,Не указано,высшее,Ж,44,247.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,180000.0,руб.,RUB,2018-05-28,,1.0,180000.0
Web-дизайнер,"ООО ""Медика""",Веб-дизайнер,2019-04-22,Не указано,высшее,Ж,28,96.0,Санкт-Петербург,True,True,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-22,,1.0,50000.0
"контент-менеджер сайта, SEO-оптимизация, копирайтер",ООО МЕГАТРОН электрикс,Технический специалист,2019-05-07,Не указано,высшее,М,58,435.0,Санкт-Петербург,False,False,True,False,False,False,False,True,False,False,False,False,35000.0,руб.,RUB,2019-05-07,,1.0,35000.0
"Бизнес-аналитик, системный аналитик, руководитель проектов",Интернет-агентство «Новый сайт»,Бизнес-аналитик,2019-04-22,Не указано,высшее,М,29,69.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,3000.0,бел.руб.,,2019-04-22,,,
"Специалист ИТ, Ведущий специалист, Инженер IT","АО ""РТ ЛАБС""",Ведущий инженер отдела сопровождения ИС,2019-05-07,Не указано,высшее,М,36,174.0,Санкт-Петербург,True,True,True,True,True,False,False,True,True,True,False,False,49000.0,руб.,RUB,2019-05-07,,1.0,49000.0
Аккаунт-менеджер,"Ino Group, рекламно-коммуникационное агентство",Диджитал аккаунт-менеджер,2019-05-07,Не указано,высшее,Ж,31,72.0,Санкт-Петербург,False,True,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-05-07,,1.0,70000.0
Заместитель руководителя проекта,"ООО ""Авикс""",Менеджер проекта,2019-04-27,Не указано,высшее,М,29,67.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,100000.0,руб.,RUB,2019-04-27,,1.0,100000.0
администратор пункта самовывоза,ИП Калашников,Администратор,2019-05-07,Не указано,высшее,Ж,44,64.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,40000.0,руб.,RUB,2019-05-07,,1.0,40000.0
Специалист технической поддержки,"ООО ""Копикон""",Системный администратор,2019-04-22,Имеется собственный автомобиль,неоконченное высшее,М,23,11.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,27000.0,руб.,RUB,2019-04-22,,1.0,27000.0
Инженер технической поддержки,"АО ""Транснефть-Север""",Техник,2019-04-22,Не указано,высшее,Ж,24,25.0,другие,False,True,True,True,True,False,False,True,False,False,False,False,30000.0,руб.,RUB,2019-04-22,,1.0,30000.0
Инженер связи,"ООО ""Единство""",Инженер,2019-04-10,Не указано,высшее,М,30,70.0,другие,True,True,True,False,False,False,False,True,False,False,False,True,50000.0,руб.,RUB,2019-04-10,,1.0,50000.0
Ведущий cистемный администратор,"АНКОР, кадровый холдинг",Ассесор поисковых систем (по совместительству),2019-04-22,Не указано,неоконченное высшее,М,30,133.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,80000.0,руб.,RUB,2019-04-22,,1.0,80000.0
Разработчик  Scala,ГК ECommPay,Разработчик(Java/Scala),2019-04-09,Не указано,высшее,М,34,120.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,300000.0,руб.,RUB,2019-04-09,,1.0,300000.0
